as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,trend,2,ENAUSDT,long,2026-09-23,0.20601,0.26801,2026-09-30,2.0,0.002234882766413802,0.5699873952881126,0.12738550068024942,0.06369275034012471,30.095626425901667,False
2026-09-25,trend,2,ETHUSDT,long,2026-09-23,2683.41,2690.56,2026-09-30,2.0,0.004864623730907116,0.5699873952881126,0.27727742094364877,0.13863871047182438,0.26645201441450883,False
2026-09-25,trend,2,HYPEUSDT,long,2026-09-23,94.024,92.368,2026-09-30,2.0,0.003359534429966456,0.5699873952881126,0.19148922791173145,0.09574461395586573,-1.7612524461839585,False
2026-09-25,trend,2,LINKUSDT,long,2026-09-23,12.346,13.924,2026-09-30,2.0,0.004246853844337995,0.5699873952881126,0.2420653160903521,0.12103265804517604,12.781467681840276,False
2026-09-25,trend,2,PUMPUSDT,short,2026-09-23,0.004002,0.004194,2026-09-30,2.0,-0.002148802332112326,0.5699873952881126,0.12247902442697266,0.06123951221348633,-4.797601199400292,False
2026-09-25,trend,2,SOLUSDT,long,2026-09-23,114.95,122.1,2026-09-30,2.0,0.004482839954824003,0.5699873952881126,0.2555162269343614,0.1277581134671807,6.2200956937799035,False
2026-09-25,trend,2,SUIUSDT,long,2026-09-23,0.9595,1.1943,2026-09-30,2.0,0.0033529056311573345,0.5699873952881126,0.19111139473502142,0.09555569736751071,24.47107868681604,False
2026-09-25,trend,2,TRUMPUSDT,short,2026-09-23,1.963,2.122,2026-09-30,2.0,-0.002430942264373586,0.5699873952881126,0.1385606449366087,0.06928032246830435,-8.09984717269485,False
2026-09-25,trend,2,TUTUSDT,short,2026-09-23,0.02469,0.026,2026-09-30,2.0,-0.0006811763165267935,0.5699873952881126,0.0388261914389058,0.0194130957194529,-5.305791818550021,False
2026-09-25,trend,2,XRPUSDT,long,2026-09-23,1.4999,1.5677,2026-09-30,2.0,0.003941669316906838,0.5699873952881126,0.22467018270308026,0.11233509135154013,4.520301353423561,False
2026-09-25,trend,2,ZECUSDT,long,2026-09-23,1498.0,1555.2,2026-09-30,2.0,0.0019739741327649465,0.5699873952881126,0.11251403743008027,0.05625701871504014,3.818424566088119,False
2026-09-25,trend,3,1000PEPEUSDT,long,2026-09-24,0.0044214,0.0044875,2026-10-01,2.0,0.0026557928925456695,0.5699873952881126,0.15137684732467885,0.07568842366233942,1.4950015832089436,False
2026-09-25,trend,3,ACEUSDT,short,2026-09-24,0.18761,0.1944,2026-10-01,2.0,-0.0009762859801533084,0.5699873952881126,0.05564707028838862,0.02782353514419431,-3.6192100634294455,False
2026-09-25,trend,3,ADAUSDT,long,2026-09-24,0.2476,0.2586,2026-10-01,2.0,0.003614442019071132,0.5699873952881126,0.20601863918702615,0.10300931959351307,4.442649434571888,False
2026-09-25,trend,3,AKEUSDT,long,2026-09-24,0.035753,0.032779,2026-10-01,2.0,0.00047068869436264944,0.5699873952881126,0.026828662289132908,0.013414331144566454,-8.31818308953094,False
2026-09-25,trend,3,BNBUSDT,long,2026-09-24,777.14,777.53,2026-10-01,2.0,0.006998527798825092,0.5699873952881126,0.3989072630903762,0.1994536315451881,0.05018400802943024,False
2026-09-25,trend,3,BTCUSDT,long,2026-09-24,84370.0,84056.0,2026-10-01,2.0,0.006647218041671572,0.5699873952881126,0.3788830497484528,0.1894415248742264,-0.37217020267867884,False
2026-09-25,trend,3,BTWUSDT,long,2026-09-24,0.9533,1.3154,2026-10-01,2.0,0.0009925617579157797,0.5699873952881126,0.05657476910570055,0.028287384552850275,37.983845589006606,False
2026-09-25,trend,3,CYSUSDT,short,2026-09-24,0.1844,0.1854,2026-10-01,2.0,-0.0009320996478545577,0.5699873952881126,0.053128505042958636,0.026564252521479318,-0.5422993492407713,False
2026-09-25,trend,3,DOGEUSDT,long,2026-09-24,0.09573,0.09893,2026-10-01,2.0,0.004018476016380393,0.5699873952881126,0.22904806776044112,0.11452403388022056,3.3427347748877123,False
2026-09-25,trend,3,ENAUSDT,long,2026-09-24,0.22455,0.26801,2026-10-01,2.0,0.00222020780440521,0.5699873952881126,0.12654904634312653,0.06327452317156326,19.354264083723006,False
2026-09-25,trend,3,ETHUSDT,long,2026-09-24,2686.65,2690.56,2026-10-01,2.0,0.004904946322239042,0.5699873952881126,0.27957575782410393,0.13978787891205197,0.14553440157816233,False
2026-09-25,trend,3,HYPEUSDT,long,2026-09-24,92.063,92.368,2026-10-01,2.0,0.0033812430879527596,0.5699873952881126,0.19272659405381282,0.09636329702690641,0.3312948741622579,False
2026-09-25,trend,3,LINKUSDT,long,2026-09-24,13.215,13.924,2026-10-01,2.0,0.004146240718499543,0.5699873952881126,0.2363304947375067,0.11816524736875335,5.365115399167619,False
2026-09-25,trend,3,PUMPUSDT,short,2026-09-24,0.003848,0.004194,2026-10-01,2.0,-0.002161144848050978,0.5699873952881126,0.12318253227809008,0.06159126613904504,-8.991683991683995,False
2026-09-25,trend,3,SOLUSDT,long,2026-09-24,116.99,122.1,2026-10-01,2.0,0.004509430201525016,0.5699873952881126,0.25703183748007924,0.12851591874003962,4.367894691854013,False
2026-09-25,trend,3,SUIUSDT,long,2026-09-24,1.0137,1.1943,2026-10-01,2.0,0.003336424816002098,0.5699873952881126,0.19017200904476564,0.09508600452238282,17.81592187037584,False
2026-09-25,trend,3,TRUMPUSDT,short,2026-09-24,2.075,2.122,2026-10-01,2.0,-0.0024337347044129866,0.5699873952881126,0.1387198104990643,0.06935990524953214,-2.2650602409638454,False
2026-09-25,trend,3,TUTUSDT,short,2026-09-24,0.02716,0.026,2026-10-01,2.0,-0.0006856456089134606,0.5699873952881126,0.03908093547153153,0.019540467735765767,4.270986745213556,False
2026-09-25,trend,3,XRPUSDT,long,2026-09-24,1.534,1.5677,2026-10-01,2.0,0.00396254929258446,0.5699873952881126,0.22586031499809694,0.11293015749904847,2.19687092568448,False
2026-09-25,trend,3,ZECUSDT,long,2026-09-24,1545.73,1555.2,2026-10-01,2.0,0.0019874335513122123,0.5699873952881126,0.11328120732206513,0.05664060366103257,0.6126555090474994,False
2026-09-25,trend,4,1000PEPEUSDT,long,2026-09-25,0.0044875,0.0044875,2026-10-02,2.0,0.0026762688238898594,0.5699873952881126,0.15254394960197615,0.07627197480098807,0.0,False
2026-09-25,trend,4,ACEUSDT,short,2026-09-25,0.1944,0.1944,2026-10-02,2.0,-0.0009839331972641904,0.5699873952881126,0.05608295202461206,0.02804147601230603,-0.0,False
